"DRUH","POSITIVE","row_n"
"Phengaris nausithous",1,2
"Phengaris nausithous",1,4
"Phengaris nausithous",0,5
"Phengaris nausithous",1,8
"Phengaris nausithous",1,13
"Phengaris nausithous",1,14
"Phengaris nausithous",1,16
"Phengaris nausithous",1,17
"Phengaris nausithous",1,18
"Phengaris nausithous",1,21
"Phengaris nausithous",1,22
"Phengaris nausithous",0,23
"Phengaris nausithous",0,24
"Phengaris nausithous",1,25
"Phengaris nausithous",1,26
"Phengaris nausithous",1,27
"Phengaris nausithous",1,28
"Phengaris nausithous",1,29
"Phengaris nausithous",1,30
"Phengaris nausithous",1,31
"Phengaris nausithous",1,32
"Phengaris nausithous",1,35
"Phengaris nausithous",1,36
"Phengaris nausithous",1,39
"Phengaris nausithous",1,40
"Phengaris nausithous",1,41
"Phengaris nausithous",1,42
"Phengaris nausithous",1,43
"Phengaris nausithous",1,44
"Phengaris nausithous",1,45
"Phengaris nausithous",1,46
"Phengaris nausithous",1,47
"Phengaris nausithous",1,48
"Phengaris nausithous",1,49
"Phengaris nausithous",0,54
"Phengaris nausithous",1,55
"Phengaris nausithous",1,56
"Phengaris nausithous",1,59
"Phengaris nausithous",1,60
"Phengaris nausithous",1,61
"Phengaris nausithous",1,62
"Phengaris nausithous",1,63
"Phengaris nausithous",1,64
"Phengaris nausithous",1,65
"Phengaris nausithous",1,66
"Phengaris nausithous",1,67
"Phengaris nausithous",1,68
"Phengaris nausithous",0,69
"Phengaris nausithous",1,78
"Phengaris nausithous",0,79
"Phengaris nausithous",0,86
"Phengaris nausithous",1,87
"Phengaris nausithous",0,88
"Phengaris nausithous",1,89
"Phengaris nausithous",1,90
"Phengaris nausithous",1,91
"Phengaris nausithous",1,92
"Phengaris nausithous",1,93
"Phengaris nausithous",1,103
"Phengaris nausithous",1,104
"Phengaris nausithous",1,105
"Phengaris nausithous",1,108
"Phengaris nausithous",1,109
"Phengaris nausithous",0,116
"Phengaris nausithous",0,117
"Phengaris nausithous",0,119
"Phengaris nausithous",0,120
"Phengaris nausithous",0,121
"Phengaris nausithous",1,122
"Phengaris nausithous",1,123
"Phengaris nausithous",1,135
"Phengaris nausithous",1,136
"Phengaris nausithous",1,138
"Phengaris nausithous",1,139
"Phengaris nausithous",0,141
"Phengaris nausithous",1,142
"Phengaris nausithous",1,143
"Phengaris nausithous",1,152
"Phengaris nausithous",1,153
"Phengaris nausithous",1,155
"Phengaris nausithous",0,156
"Phengaris nausithous",1,171
"Phengaris nausithous",1,172
"Phengaris nausithous",1,174
"Phengaris nausithous",1,175
"Phengaris nausithous",0,176
"Phengaris nausithous",1,178
"Phengaris nausithous",0,179
"Phengaris nausithous",1,180
"Phengaris nausithous",1,181
"Phengaris nausithous",1,182
"Phengaris nausithous",1,183
"Phengaris nausithous",0,184
"Phengaris nausithous",1,193
"Phengaris nausithous",0,194
"Phengaris nausithous",1,195
"Phengaris nausithous",0,196
"Phengaris nausithous",0,198
"Phengaris nausithous",0,199
"Phengaris nausithous",1,209
"Phengaris nausithous",1,210
"Phengaris nausithous",1,213
"Phengaris nausithous",1,214
"Phengaris nausithous",1,215
"Phengaris nausithous",1,216
"Phengaris nausithous",1,219
"Phengaris nausithous",1,220
"Phengaris nausithous",1,221
"Phengaris nausithous",1,222
"Phengaris nausithous",1,223
"Phengaris nausithous",1,224
"Phengaris nausithous",0,225
"Phengaris nausithous",1,227
"Phengaris nausithous",1,228
"Phengaris nausithous",1,229
"Phengaris nausithous",0,231
"Phengaris nausithous",1,234
"Phengaris nausithous",0,235
"Phengaris nausithous",0,236
"Phengaris nausithous",0,237
"Phengaris nausithous",0,238
"Phengaris nausithous",0,239
"Phengaris nausithous",1,241
"Phengaris nausithous",1,250
"Phengaris nausithous",1,253
"Phengaris nausithous",1,254
"Phengaris nausithous",1,255
"Phengaris nausithous",1,256
"Phengaris nausithous",1,257
"Phengaris nausithous",1,258
"Phengaris nausithous",1,259
"Phengaris nausithous",0,260
"Phengaris nausithous",0,261
"Phengaris nausithous",0,262
"Phengaris nausithous",0,263
"Phengaris nausithous",1,264
"Phengaris nausithous",1,265
"Phengaris nausithous",0,266
"Phengaris nausithous",1,267
"Phengaris nausithous",1,268
"Phengaris nausithous",1,269
"Phengaris nausithous",1,270
"Phengaris nausithous",1,271
"Phengaris nausithous",1,272
"Phengaris nausithous",0,273
"Phengaris nausithous",1,274
"Phengaris nausithous",0,275
"Phengaris nausithous",0,276
"Phengaris nausithous",0,279
"Phengaris nausithous",0,281
"Phengaris nausithous",1,289
"Phengaris nausithous",1,290
"Phengaris nausithous",1,291
"Phengaris nausithous",1,293
"Phengaris nausithous",1,294
"Phengaris nausithous",1,295
"Phengaris nausithous",1,296
"Phengaris nausithous",1,297
"Phengaris nausithous",1,298
"Phengaris nausithous",1,299
"Phengaris nausithous",1,300
"Phengaris nausithous",1,301
"Phengaris nausithous",1,302
"Phengaris nausithous",0,303
"Phengaris nausithous",0,304
"Phengaris nausithous",0,305
"Phengaris nausithous",1,307
"Phengaris nausithous",0,308
"Phengaris nausithous",1,309
"Phengaris nausithous",1,310
"Phengaris nausithous",1,311
"Phengaris nausithous",1,312
"Phengaris nausithous",1,313
"Phengaris nausithous",0,314
"Phengaris nausithous",0,315
"Phengaris nausithous",1,316
"Phengaris nausithous",1,317
"Phengaris nausithous",0,318
"Phengaris nausithous",0,320
"Phengaris nausithous",0,322
"Phengaris nausithous",0,323
"Phengaris nausithous",0,324
"Phengaris nausithous",0,325
"Phengaris nausithous",1,330
"Phengaris nausithous",1,331
"Phengaris nausithous",1,332
"Phengaris nausithous",1,334
"Phengaris nausithous",0,335
"Phengaris nausithous",1,336
"Phengaris nausithous",1,337
"Phengaris nausithous",1,338
"Phengaris nausithous",1,339
"Phengaris nausithous",1,340
"Phengaris nausithous",1,341
"Phengaris nausithous",1,342
"Phengaris nausithous",1,343
"Phengaris nausithous",0,344
"Phengaris nausithous",0,345
"Phengaris nausithous",1,349
"Phengaris nausithous",1,351
"Phengaris nausithous",1,352
"Phengaris nausithous",1,353
"Phengaris nausithous",1,354
"Phengaris nausithous",1,355
"Phengaris nausithous",1,356
"Phengaris nausithous",1,357
"Phengaris nausithous",1,358
"Phengaris nausithous",1,359
"Phengaris nausithous",1,360
"Phengaris nausithous",0,361
"Phengaris nausithous",1,362
"Phengaris nausithous",1,363
"Phengaris nausithous",0,364
"Phengaris nausithous",1,365
"Phengaris nausithous",1,366
"Phengaris nausithous",1,367
"Phengaris nausithous",1,370
"Phengaris nausithous",1,371
"Phengaris nausithous",1,372
"Phengaris nausithous",1,373
"Phengaris nausithous",1,374
"Phengaris nausithous",1,375
"Phengaris nausithous",0,376
"Phengaris nausithous",1,377
"Phengaris nausithous",1,378
"Phengaris nausithous",1,380
"Phengaris nausithous",1,381
"Phengaris nausithous",1,382
"Phengaris nausithous",1,383
"Phengaris nausithous",0,387
"Phengaris nausithous",0,389
"Phengaris nausithous",1,390
"Phengaris nausithous",1,391
"Phengaris nausithous",1,392
"Phengaris nausithous",1,393
"Phengaris nausithous",1,394
"Phengaris nausithous",1,396
"Phengaris nausithous",1,397
"Phengaris nausithous",0,398
"Phengaris nausithous",0,399
"Phengaris nausithous",0,400
"Phengaris nausithous",1,401
"Phengaris nausithous",1,402
"Phengaris nausithous",1,403
"Phengaris nausithous",1,404
"Phengaris nausithous",0,405
"Phengaris nausithous",1,406
"Phengaris nausithous",1,407
"Phengaris nausithous",1,408
"Phengaris nausithous",1,409
"Phengaris nausithous",0,410
"Phengaris nausithous",1,411
"Phengaris nausithous",1,412
"Phengaris nausithous",1,413
"Phengaris nausithous",1,414
"Phengaris nausithous",1,415
"Phengaris nausithous",1,416
"Phengaris nausithous",1,417
"Phengaris nausithous",1,418
"Phengaris nausithous",1,419
"Phengaris nausithous",1,421
"Phengaris nausithous",1,422
"Phengaris nausithous",0,423
"Phengaris nausithous",0,424
"Phengaris nausithous",1,425
"Phengaris nausithous",0,426
"Phengaris nausithous",1,427
"Phengaris nausithous",0,428
"Phengaris nausithous",0,429
"Phengaris nausithous",1,431
"Phengaris nausithous",0,432
"Phengaris nausithous",1,434
"Phengaris nausithous",1,435
"Phengaris nausithous",1,436
"Phengaris nausithous",0,437
"Phengaris nausithous",0,439
"Phengaris nausithous",1,440
"Phengaris nausithous",0,442
"Phengaris nausithous",1,443
"Phengaris nausithous",1,444
"Phengaris nausithous",1,445
"Phengaris nausithous",0,446
"Phengaris nausithous",0,447
"Phengaris nausithous",1,450
"Phengaris nausithous",1,452
"Phengaris nausithous",1,453
"Phengaris nausithous",1,454
"Phengaris nausithous",1,455
"Phengaris nausithous",1,459
"Phengaris nausithous",1,460
"Phengaris nausithous",1,461
"Phengaris nausithous",1,462
"Phengaris nausithous",1,463
"Phengaris nausithous",1,464
"Phengaris nausithous",1,465
"Phengaris nausithous",0,466
"Phengaris nausithous",1,468
"Phengaris nausithous",0,469
"Phengaris nausithous",1,472
"Phengaris nausithous",0,473
"Phengaris nausithous",1,474
"Phengaris nausithous",1,475
"Phengaris nausithous",1,476
"Phengaris nausithous",1,477
"Phengaris nausithous",0,478
"Phengaris nausithous",1,479
"Phengaris nausithous",1,483
"Phengaris nausithous",1,484
"Phengaris nausithous",1,485
"Phengaris nausithous",1,486
"Phengaris nausithous",0,488
"Phengaris nausithous",1,489
"Phengaris nausithous",1,490
"Phengaris nausithous",1,491
"Phengaris nausithous",1,492
"Phengaris nausithous",1,493
"Phengaris nausithous",1,494
"Phengaris nausithous",1,495
"Phengaris nausithous",1,496
"Phengaris nausithous",1,497
"Phengaris nausithous",0,499
"Phengaris nausithous",1,500
"Phengaris nausithous",1,501
"Phengaris nausithous",1,502
"Phengaris nausithous",1,503
"Phengaris nausithous",1,504
"Phengaris nausithous",1,505
"Phengaris nausithous",1,506
"Phengaris nausithous",1,507
"Phengaris nausithous",0,509
"Phengaris nausithous",1,510
"Phengaris nausithous",1,511
"Phengaris nausithous",1,512
"Phengaris nausithous",0,514
"Phengaris nausithous",1,515
"Phengaris nausithous",1,516
"Phengaris nausithous",1,517
"Phengaris nausithous",0,518
"Phengaris nausithous",1,526
"Phengaris nausithous",0,527
"Phengaris nausithous",1,528
"Phengaris nausithous",0,529
"Phengaris nausithous",0,530
"Phengaris nausithous",1,531
"Phengaris nausithous",1,532
"Phengaris nausithous",1,533
"Phengaris nausithous",1,534
"Phengaris nausithous",1,535
"Phengaris nausithous",1,536
"Phengaris nausithous",1,537
"Phengaris nausithous",1,538
"Phengaris nausithous",1,539
"Phengaris nausithous",0,540
"Phengaris nausithous",1,541
"Phengaris nausithous",1,543
"Phengaris nausithous",1,544
"Phengaris nausithous",1,545
"Phengaris nausithous",1,546
"Phengaris nausithous",1,547
"Phengaris nausithous",1,548
"Phengaris nausithous",1,549
"Phengaris nausithous",0,550
"Phengaris nausithous",0,551
"Phengaris nausithous",1,552
"Phengaris nausithous",1,553
"Phengaris nausithous",0,554
"Phengaris nausithous",1,561
"Phengaris nausithous",1,568
"Phengaris nausithous",1,569
"Phengaris nausithous",1,570
"Phengaris nausithous",1,571
"Phengaris nausithous",0,572
"Phengaris nausithous",0,573
"Phengaris nausithous",0,576
"Phengaris nausithous",1,577
"Phengaris nausithous",1,578
"Phengaris nausithous",1,579
"Phengaris nausithous",1,584
"Phengaris nausithous",0,585
"Phengaris nausithous",1,586
"Phengaris nausithous",1,587
"Phengaris nausithous",1,588
"Phengaris nausithous",1,589
"Phengaris nausithous",0,591
"Phengaris nausithous",0,592
"Phengaris nausithous",1,593
"Phengaris nausithous",1,594
"Phengaris nausithous",0,595
"Phengaris nausithous",0,610
"Phengaris nausithous",1,611
"Phengaris nausithous",0,612
"Phengaris nausithous",0,613
"Phengaris nausithous",0,614
"Phengaris nausithous",0,615
"Phengaris nausithous",0,616
"Phengaris nausithous",1,621
"Phengaris nausithous",1,626
"Phengaris nausithous",1,627
"Phengaris nausithous",1,628
"Phengaris nausithous",1,629
"Phengaris nausithous",1,630
"Phengaris nausithous",1,633
"Phengaris nausithous",1,634
"Phengaris nausithous",1,635
"Phengaris nausithous",1,653
"Phengaris nausithous",0,654
"Phengaris nausithous",1,655
"Phengaris nausithous",0,657
"Phengaris nausithous",0,658
"Phengaris nausithous",1,659
"Phengaris nausithous",0,664
"Phengaris nausithous",1,665
"Phengaris nausithous",0,666
"Phengaris nausithous",1,667
"Phengaris nausithous",1,668
"Phengaris nausithous",1,669
"Phengaris nausithous",0,687
"Phengaris nausithous",0,688
"Phengaris nausithous",0,691
"Phengaris nausithous",0,692
"Phengaris nausithous",0,693
"Phengaris nausithous",1,694
"Phengaris nausithous",0,695
"Phengaris nausithous",0,704
"Phengaris nausithous",1,706
"Phengaris nausithous",1,711
"Phengaris nausithous",0,712
"Phengaris nausithous",1,713
"Phengaris nausithous",1,715
"Phengaris nausithous",1,719
"Phengaris nausithous",1,720
"Phengaris nausithous",1,721
"Phengaris nausithous",1,722
"Phengaris nausithous",1,723
"Phengaris nausithous",1,724
"Phengaris nausithous",1,729
"Phengaris nausithous",0,730
"Phengaris nausithous",1,732
"Phengaris nausithous",1,734
"Phengaris nausithous",1,735
"Phengaris nausithous",1,736
"Phengaris nausithous",1,737
"Phengaris nausithous",1,738
"Phengaris nausithous",1,742
"Phengaris nausithous",1,743
"Phengaris nausithous",1,744
"Phengaris nausithous",1,745
"Phengaris nausithous",1,746
"Phengaris nausithous",1,747
"Phengaris nausithous",1,748
"Phengaris nausithous",1,749
"Phengaris nausithous",1,750
"Phengaris nausithous",1,752
"Phengaris nausithous",1,753
"Phengaris nausithous",1,754
"Phengaris nausithous",1,756
"Phengaris nausithous",1,757
"Phengaris nausithous",1,759
"Phengaris nausithous",1,760
"Phengaris nausithous",1,761
"Phengaris nausithous",1,762
"Phengaris nausithous",1,763
"Phengaris nausithous",1,764
"Phengaris nausithous",1,765
"Phengaris nausithous",1,766
"Phengaris teleius",1,3
"Phengaris teleius",1,5
"Phengaris teleius",1,9
"Phengaris teleius",1,12
"Phengaris teleius",1,16
"Phengaris teleius",1,19
"Phengaris teleius",1,21
"Phengaris teleius",0,22
"Phengaris teleius",1,24
"Phengaris teleius",1,25
"Phengaris teleius",1,26
"Phengaris teleius",1,38
"Phengaris teleius",1,39
"Phengaris teleius",1,40
"Phengaris teleius",1,41
"Phengaris teleius",0,42
"Phengaris teleius",0,47
"Phengaris teleius",0,57
"Phengaris teleius",0,58
"Phengaris teleius",0,59
"Phengaris teleius",0,60
"Phengaris teleius",1,61
"Phengaris teleius",0,75
"Phengaris teleius",0,76
"Phengaris teleius",0,78
"Phengaris teleius",0,80
"Phengaris teleius",1,95
"Phengaris teleius",0,97
"Phengaris teleius",1,111
"Phengaris teleius",0,114
"Phengaris teleius",0,115
"Phengaris teleius",0,118
"Phengaris teleius",0,119
"Phengaris teleius",0,129
"Phengaris teleius",1,130
"Phengaris teleius",1,131
"Phengaris teleius",1,132
"Phengaris teleius",0,134
"Phengaris teleius",0,136
"Phengaris teleius",0,137
"Phengaris teleius",1,148
"Phengaris teleius",1,150
"Phengaris teleius",0,164
"Phengaris teleius",0,165
"Phengaris teleius",0,180
"Phengaris teleius",0,181
"Phengaris teleius",0,182
"Phengaris teleius",0,183
"Phengaris teleius",1,197
"Phengaris teleius",0,200
"Phengaris teleius",0,204
"Phengaris teleius",0,205
"Phengaris teleius",0,206
"Phengaris teleius",1,212
"Phengaris teleius",1,216
"Phengaris teleius",0,217
"Phengaris teleius",1,221
"Phengaris teleius",1,222
"Phengaris teleius",1,224
"Phengaris teleius",0,226
"Phengaris teleius",1,234
"Phengaris teleius",1,235
"Phengaris teleius",0,236
"Phengaris teleius",0,237
"Phengaris teleius",1,238
"Phengaris teleius",0,242
"Phengaris teleius",1,245
"Phengaris teleius",0,247
"Phengaris teleius",0,248
"Phengaris teleius",0,257
"Phengaris teleius",1,258
"Phengaris teleius",0,262
"Phengaris teleius",0,263
"Phengaris teleius",1,264
"Phengaris teleius",1,267
"Phengaris teleius",1,268
"Phengaris teleius",1,273
"Phengaris teleius",1,275
"Phengaris teleius",1,276
"Phengaris teleius",0,280
"Phengaris teleius",0,282
"Phengaris teleius",1,290
"Phengaris teleius",1,291
"Phengaris teleius",0,292
"Phengaris teleius",0,301
"Phengaris teleius",0,302
"Phengaris teleius",0,303
"Phengaris teleius",1,307
"Phengaris teleius",1,308
"Phengaris teleius",1,310
"Phengaris teleius",1,311
"Phengaris teleius",1,312
"Phengaris teleius",0,313
"Phengaris teleius",0,324
"Phengaris teleius",1,326
"Phengaris teleius",1,327
"Phengaris teleius",1,328
"Phengaris teleius",1,329
"Phengaris teleius",0,342
"Phengaris teleius",1,343
"Phengaris teleius",1,344
"Phengaris teleius",1,345
"Phengaris teleius",1,359
"Phengaris teleius",1,360
"Phengaris teleius",1,361
"Phengaris teleius",1,366
"Phengaris teleius",0,371
"Phengaris teleius",0,372
"Phengaris teleius",0,374
"Phengaris teleius",1,387
"Phengaris teleius",0,388
"Phengaris teleius",0,389
"Phengaris teleius",0,391
"Phengaris teleius",0,393
"Phengaris teleius",0,397
"Phengaris teleius",1,398
"Phengaris teleius",0,403
"Phengaris teleius",1,404
"Phengaris teleius",0,405
"Phengaris teleius",1,410
"Phengaris teleius",1,411
"Phengaris teleius",0,412
"Phengaris teleius",1,413
"Phengaris teleius",1,414
"Phengaris teleius",1,422
"Phengaris teleius",1,423
"Phengaris teleius",1,424
"Phengaris teleius",1,425
"Phengaris teleius",1,426
"Phengaris teleius",1,427
"Phengaris teleius",1,429
"Phengaris teleius",1,430
"Phengaris teleius",1,431
"Phengaris teleius",1,433
"Phengaris teleius",1,436
"Phengaris teleius",0,437
"Phengaris teleius",1,438
"Phengaris teleius",1,439
"Phengaris teleius",1,440
"Phengaris teleius",1,441
"Phengaris teleius",1,443
